claim_id_antigo	claim_id_novo	familia	termo	status	fonte
hwa-10.2-perfreport-0001	hwa-10.2-perfreport-rome-lab-0001	perfreport	rome-lab	apply	manual
hwa-10.2-perfreport-0002	hwa-10.2-perfreport-benchmark-jobs-per-min-0002	perfreport	benchmark-jobs-per-min	apply	manual
hwa-10.2.8-apikey-0001	hwa-10.2.8-apikey-api-key-auth-upgrade-0001	apikey	api-key-auth-upgrade	apply	manual
hwa-10.2.8-awsbhv082e-0001		awsbhv082e		skip	sem_termo
hwa-10.2.8-awsjpl526w-0001		awsjpl526w		skip	sem_termo
hwa-10.2.8-backup-0001	hwa-10.2.8-backup-backup-master-data-0001	backup	backup-master-data	apply	manual
hwa-10.2.8-capacity-0009	hwa-10.2.8-capacity-stdlist-retention-0009	capacity	stdlist-retention	apply	manual
hwa-10.2.8-capacity-0014	hwa-10.2.8-capacity-oracle-tablespace-size-0014	capacity	oracle-tablespace-size	apply	manual
hwa-10.2.8-capacity-0021	hwa-10.2.8-capacity-localopts-job-processing-0021	capacity	localopts-job-processing	apply	manual
hwa-10.2.8-cliauth-0001	hwa-10.2.8-cliauth-conman-composer-auth-0001	cliauth	conman-composer-auth	apply	manual
hwa-10.2.8-configafter-0001	hwa-10.2.8-configafter-post-install-config-0001	configafter	post-install-config	apply	manual
hwa-10.2.8-directupgrade-0001	hwa-10.2.8-directupgrade-direct-upgrade-paths-0001	directupgrade	direct-upgrade-paths	apply	manual
hwa-10.2.8-dynagent-0016	hwa-10.2.8-dynagent-pool-rebalance-0016	dynagent	pool-rebalance	apply	manual
hwa-10.2.8-enigma-0001	hwa-10.2.8-enigma-r3batch-sap-0001	enigma	r3batch-sap	apply	manual
hwa-10.2.8-event-0005	hwa-10.2.8-event-event-rule-definition-0005	event	event-rule-definition	apply	manual
hwa-10.2.8-event-0007	hwa-10.2.8-event-event-rule-actions-0007	event	event-rule-actions	apply	manual
hwa-10.2.8-event-0011	hwa-10.2.8-event-starteventprocessor-0011	event	starteventprocessor	apply	manual
hwa-10.2.8-event-0038	hwa-10.2.8-event-event-rule-instance-status-0038	event	event-rule-instance-status	apply	manual
hwa-10.2.8-evtsize-0001	hwa-10.2.8-evtsize-evtsize-message-size-0001	evtsize	evtsize-message-size	apply	manual
hwa-10.2.8-ha-0002	hwa-10.2.8-ha-mdm-failover-switch-0002	ha	mdm-failover-switch	apply	manual
hwa-10.2.8-install-0003	hwa-10.2.8-install-serverinst-install-0003	install	serverinst-install	apply	manual
hwa-10.2.8-install-0004	hwa-10.2.8-install-backup-mdm-existing-db-0004	install	backup-mdm-existing-db	apply	manual
hwa-10.2.8-install-0005	hwa-10.2.8-install-sslkeysfolder-certs-0005	install	sslkeysfolder-certs	apply	manual
hwa-10.2.8-install-0006	hwa-10.2.8-install-dwcinst-install-0006	install	dwcinst-install	apply	manual
hwa-10.2.8-install-0007	hwa-10.2.8-install-twsinst-agent-0007	install	twsinst-agent	apply	manual
hwa-10.2.8-install-0008	hwa-10.2.8-install-jnextplan-after-backup-0008	install	jnextplan-after-backup	apply	manual
hwa-10.2.8-jwtfile-0001	hwa-10.2.8-jwtfile-jwt-token-location-0001	jwtfile	jwt-token-location	apply	manual
hwa-10.2.8-monitor-0001	hwa-10.2.8-monitor-db-views-0001	monitor	db-views	apply	manual
hwa-10.2.8-monitor-0011	hwa-10.2.8-monitor-dwc-reporting-0011	monitor	dwc-reporting	apply	manual
hwa-10.2.8-monitor-0012	hwa-10.2.8-monitor-predefined-reports-0012	monitor	predefined-reports	apply	manual
hwa-10.2.8-monitor-0013	hwa-10.2.8-monitor-rep7-report-0013	monitor	rep7-report	apply	manual
hwa-10.2.8-monitor-0014	hwa-10.2.8-monitor-rep-commands-list-0014	monitor	rep-commands-list	apply	manual
hwa-10.2.8-monitor-0015	hwa-10.2.8-monitor-wappman-import-0015	monitor	wappman-import	apply	manual
hwa-10.2.8-monitor-0016	hwa-10.2.8-monitor-wappman-commands-0016	monitor	wappman-commands	apply	manual
hwa-10.2.8-monitor-0017	hwa-10.2.8-monitor-workload-dashboard-0017	monitor	workload-dashboard	apply	manual
hwa-10.2.8-monitor-0018	hwa-10.2.8-monitor-dashboard-widgets-0018	monitor	dashboard-widgets	apply	manual
hwa-10.2.8-postgresql-0001	hwa-10.2.8-postgresql-postgresql-mdm-db-0001	postgresql	postgresql-mdm-db	apply	manual
hwa-10.2.8-rbac-0001	hwa-10.2.8-rbac-role-based-security-0001	rbac	role-based-security	apply	manual
hwa-10.2.8-resource-0001	hwa-10.2.8-resource-resource-units-0001	resource	resource-units	apply	manual
hwa-10.2.8-resource-0002	hwa-10.2.8-resource-resource-syntax-0002	resource	resource-syntax	apply	manual
hwa-10.2.8-restocli-0008	hwa-10.2.8-restocli-pagination-envelope-0008	restocli	pagination-envelope	apply	manual
hwa-10.2.8-restocli-0017	hwa-10.2.8-restocli-ocli-interface-0017	restocli	ocli-interface	apply	manual
hwa-10.2.8-restocli-0025	hwa-10.2.8-restocli-ocli-wildcards-0025	restocli	ocli-wildcards	apply	manual
hwa-10.2.8-rollback-0001	hwa-10.2.8-rollback-no-rollback-doc-0001	rollback	no-rollback-doc	apply	manual
hwa-10.2.8-runbook-0029	hwa-10.2.8-runbook-upgrade-order-dwc-0029	runbook	upgrade-order-dwc	apply	manual
hwa-10.2.8-runbook-0030	hwa-10.2.8-runbook-pre-upgrade-stop-0030	runbook	pre-upgrade-stop	apply	manual
hwa-10.2.8-runbook-0031	hwa-10.2.8-runbook-pre-upgrade-os-prereq-0031	runbook	pre-upgrade-os-prereq	apply	manual
hwa-10.2.8-sec-0005	hwa-10.2.8-sec-vartable-permissions-0005	sec	vartable-permissions	apply	manual
hwa-10.2.8-sec-0030	hwa-10.2.8-sec-remote-trace-certs-0030	sec	remote-trace-certs	apply	manual
